controller,n,on_alt_pct,on_alt_sd,dist_on_alt,alt_rms,min_clearance,breaches,collisions,sweep,value
latch,15,7.702043548823657,0.4396984065875056,14.943333333332996,9.83240564301375,0.9293423045929927,0,0,dwell,-1.0
dwell 0s,15,6.661927464339243,1.1053987321331098,13.086666666666494,11.893525939208697,-0.8776079464863642,190,4,dwell,0.0
dwell 1s,15,7.198157033677393,0.9953590857243768,14.033333333333076,10.705695658387922,-0.9715891639965513,182,5,dwell,1.0
dwell 2s,15,7.574666535420968,0.7748855464379345,14.799999999999718,10.227072274092368,-0.13828329229170677,27,1,dwell,2.0
dwell 4s,15,7.067638466023796,0.8543230142807802,13.709999999999754,10.482806425052196,-0.13804052591732052,14,1,dwell,4.0
dwell 8s,15,4.934763965477022,0.9066626258290733,9.289999999999756,11.075173001566453,0.06362642755436276,16,0,dwell,8.0
dwell 12s,15,3.0064302010980146,0.7060797737528782,5.483333333333288,11.518259132480761,-2.625354745524916,259,5,dwell,12.0
dwell 16s,15,3.049124501123027,0.8978731785305983,5.789999999999744,12.40424653336031,-2.5918810273158748,623,6,dwell,16.0
dwell 24s,15,2.2253447256274295,0.6046387324934234,4.4133333333332025,14.199980027676125,-2.557371622093278,405,3,dwell,24.0
